id,date,character,event
master-88,1963,Martha,MS in Botany. Meets Samuel's father.
master-89,1963,Samuel's father,Meets Samuel's mother (he is 38)
master-90,1964,Martha,Love letters to S's father
master-91,1965,Martha,Samuel's parents marry (she is 28)
master-92,1965,Samuel's father,Marries (he is 40)
master-93,1965,Alec,Alec born (6 years older than Samuel)
master-94,1965,Jaagup,Jaagup rescued
master-95,1966,Samuel's father,"Gives up college, enrolls in business school"
master-96,1968,Anneliese,Boyfriend Urs
master-97,1968,Monika Woodapple,Monika visits Paul and Anneliese
master-98,1969,Martha,Samuel's parents move to Watkins Glen.
master-99,1969,Samuel's father,Works at Schuyler County Chamber of Commerce
master-100,1969,Monika Woodapple,Monika dies
master-101,1969,"Agathe, Ted",Agathe born (7 years younger than Samuel)
master-102,1970,Catherine,Trip to Argentina and Bolivia
master-103,1970,Anneliese,Boyfriend Willermus
master-104,1970,Hans Raaflaub,"First wife dies (he is 34, they were married 14 years)"
master-105,1971,Samuel,Born
master-106,1971,Martha,Martha is 34. Sells property to Paolo.
master-107,1971,Catherine,College: studies music (organ)
master-108,1971,Doctor and kittens,"John Craig, doctor's grandson, born (S's age)"
master-109,1972,Martha,Samuel's mother's mother dies in Germany
master-110,1972,Anneliese,Enrolls in the University of Basel
master-111,1972,Hans Raaflaub,Marries second wife (he is 36)
master-112,1973,Samuel,S's mother's parents visit from Germany
master-113,1973,Catherine,Works in a music store (New Jersey)
master-114,1973,Anneliese,(Calls herself Anni)
master-115,1974,Martha,Samuel's mother's father dies in Germany
master-116,1974,Catherine,Works in shipbuilding (Denmark)
master-117,1974,Hans-Myrl,Factory shuts down
master-118,1975,Samuel,S's mother's parents are both dead
master-119,1975,Martha,"Photo of Sam and the microscope, when Sam was 5."
master-120,1975,Catherine,Works as an organ technician (Switzerland)
master-121,1975,Anneliese,Begins keeping notebooks (22 years old)
master-122,1976,Samuel,Father dies (Sam is 5 1/2)
master-123,1976,Martha,Husband dies (she is 39)
master-124,1976,Samuel's father,December: dies of an aneurysm
master-125,1976,Alec,Father dies (Alec is 11 years old)
master-126,1976,Pekka Stserispaa,Born
master-127,1976,Jaagup,Pekka's father is 47
master-128,1977,Samuel,"The clearing in the thicket, the toy. Trip to Nova Scotia"
master-129,1977,Martha,Trip to Nova Scotia with the children
master-130,1977,Alec,Alec goes to middle school
master-131,1977,Catherine,Trip to Kazakhstan (entire year)
master-132,1977,Anneliese,PhD studies at the University of Potsdam
master-133,1977,Adela's mother,Studies German history in Munich
master-134,1978,Samuel,Playing in the pond with John; 7 or 8 years old
master-135,1978,Catherine,Studies biology at Smith (25 years old)
master-136,1978,Anneliese,Asks Wolfram to draw diagrams
master-137,1978,Wolfram Pichler,Anneliese asks him to draw diagrams
master-138,1978,Adela's mother,"Married, age 21"
master-139,1978,Doctor and kittens,John played in the pond with S.
master-140,1979,Samuel,"The mulberry tree  ""8 or 9 or 10"" (40 years ago), in May"
master-141,1979,Adela,Born
master-142,1979,Adela's mother,Adela born
master-143,1980,Samuel,Dog Harper; John supposed to come out to play
master-144,1980,Paul,"College, then law school"
master-145,1980,Dr. Maria-Kristiina Tank,"Born in Saue (3 1, 4 2), family name Järv"
master-146,1980,Adela's mother,Ekaterina born
master-147,1980,Ekaterina),Ekaterina born
master-148,1980,Doctor and kittens,John supposed to come out and play (40 years ago)
master-149,1981,Samuel,The high pine; elementary school graduation
master-150,1981,Alec,Alec moves away from home
master-151,1981,Doctor and kittens,John in Elementary School year book
master-152,1982,Samuel,Halloween with Billy (he has forgotten)
master-153,1982,Alec,Alec traveling
master-154,1982,Catherine,"Graduate school, genetics (Northwestern)"
master-155,1982,Anneliese,Mother dies
master-156,1982,Adela's mother,(Husband is unfaithful)
master-157,1983,Samuel,"(""Blackout years"" 1982–1998)"
master-158,1983,Adela,Adela's grandmother kills herself
master-159,1983,Alec,His bedroom becomes an astronomy library
master-160,1983,Adela's mother,Her mother dies by suicide
master-161,1984,Samuel,Trip to Europe with high school students and Billy
master-162,1984,John Preteen,John born
master-163,1984,Adela's mother,"Paris, teaches history at Ecole Jeannine Manuel"
master-164,1985,Samuel,John almost dies
master-165,1985,Catherine,Meets Benjamin Birnstorck (later teaches Viperine)
master-166,1985,Albert,Albert (Rosie's brother) born
master-167,1985,Anneliese,Stays at Grand Hôtel Wehekopf
master-168,1985,Paul,Works as laywer's assistant
master-169,1985,Dr. Maria-Kristiina Tank,Childhood friend Florina Ifscher
master-170,1985,François Aucoin,Born
master-171,1985,Doctor and kittens,Put in an induced coma
master-172,1986,Samuel,Made photographs of the yard (15 years old)
master-173,1986,Pekka Stserispaa,Pekka is 10
master-174,1986,Jaagup,Pekka's father dies (age 57)
master-175,1986,Jan,Jan born
master-176,1987,Samuel,Harper dies
master-177,1987,Catherine,"Research on Scorpionidae, Chelifer (Iceland)"
master-178,1987,Adela's mother,Teaches at Paris Diderot
master-179,1988,Samuel,High school graduation
master-180,1988,Alec,Alec goes to law school
master-181,1988,Catherine,Research on Scorpionidae (Crete)
master-182,1988,Rosie,Rosie born
master-183,1989,Samuel,Left for college: Colgate University
master-184,1989,Martha,Finds specimen of Boletus mycelio
master-185,1989,Alec,Marries Karen
master-186,1989,Catherine,Postdoc at Oxford. Meets Anneliese.
master-187,1989,Anneliese,At Oxford. Meets Catherine.
master-188,1989,Dr. Maria-Kristiina Tank,(Estonian independence)
master-189,1989,Adela's mother,Stepanka born
master-190,1989,Stepánka,Stepánka born
master-191,1989,"Agathe, Ted","Enrolls at University of Toronto, studies chemistry"
master-192,1989,Doctor and kittens,John's family moves to the south. Mark moves away.
master-193,1990,Samuel,"Class on blood. The Yukon (19 y. old, 29 years ago)"
master-194,1990,Alec,Daughter Emma
master-195,1990,Catherine,Working with Anneliese
master-196,1990,Vipesh,Born in Mae Sot
master-197,1990,Anneliese,"Year at Oxford with ℂ. Notebooks A, B, C"
master-198,1990,Fungus gnat,Fungus gnat born
master-199,1990,Adela's mother,Leaves her husband and returns to Bratislava
master-200,1990,"Dr. J. A. Barend de Hühl, Ackwieno",Ackwieno dies (age 89)
master-201,1991,Samuel,Professor suggests he specialize in protozoa
master-202,1991,Martha,Martha is living at home by herself (she is 54)
master-203,1991,Alec,"Drops out, works for a horse breeder"
master-204,1991,Catherine,"Postdoc in Reykjavik, in metrology"
master-205,1991,Anneliese,Wolfram visits. Studies meta- genomics. Map of the USSR.
master-206,1991,Wolfram Pichler,Visits Anneliese
master-207,1991,Phorid fly,"Phorid fly born in spring, dies in winter"
master-208,1991,Fungus gnat,"Thaws prematurely, dies two days later"
master-209,1992,Samuel,First trip to Europe
master-210,1992,Catherine,Works at a fish processing plant (Iceland)
master-211,1992,Anneliese,Begins magnum opus. Fills 41 A2 black notebooks.
master-212,1992,John Preteen,Bee born
master-213,1992,Sirje Kukk,Born in Tallinn
master-214,1993,Samuel,Graduate school at Emory. Buys microscope.
master-215,1993,Alec,Becomes part owner
master-216,1993,Catherine,"Gets her PhD. Visits A., sees the Black Notebooks"
master-217,1993,Anneliese,Hired at University of Basel.  C. visits her.
master-218,1993,Hans-Myrl,Retires to Ft. Myers
master-219,1993,"Agathe, Ted","Grad school, U. of Toronto (inorganic chemistry)"
master-220,1994,Samuel,Lab on wood cross-sections
master-221,1994,Alec,"Sells the business, buys a small farm, daughter Sky"
master-222,1994,Anneliese,Moves to Basel. Wolfram Pichler dies.
master-223,1994,Hans Raaflaub,Second wife dies (22 years married)
master-224,1994,Wolfram Pichler,"Wolfram dies, age 82"
master-225,1995,Martha,(she is 58)
master-226,1995,Catherine,Joins the Water Department (24 years ago)
master-227,1995,Rosie,Rosie in Sweden (ages 7-9)
master-228,1995,Viperine,Born in Moulins
master-229,1995,Anneliese,"Warned about absences, ignoring students"
master-230,1995,Jaagup,Jaagup dies (age 75)
master-231,1996,Samuel,"Helps Paolo find a boundary line, gets PhD"
master-232,1996,Alec,Helps Samuel find a boundary line in the property
master-233,1996,Anneliese,Colleagues stop visiting; father dies
master-234,1997,Samuel,Postdoc in Toronto
master-235,1997,Rosie,Rosie in Abu Dhabi
master-236,1997,Anneliese,Accused of writing notes in other people's labs
master-237,1997,Paul,Moves back to his family home
master-238,1998,Samuel,Publishes three scientific papers on amoebas
master-239,1998,Anneliese,"Caught in Früchtel's home, rearranging books"
master-240,1998,Luzia,Luzia born
master-241,1998,"Agathe, Ted",PhD
master-242,1999,Samuel,Joins Water Deptartment (20 years ago)
master-243,1999,Martha,Writes treatise on scientific thinking
master-244,1999,Rosie,Germany for one year
master-245,1999,Anneliese,"Fired, moves back with Hans, buys gray notebooks."
master-246,1999,Luzia,Father abandons the family
master-247,1999,Dr. Maria-Kristiina Tank,Tartu University
master-248,1999,"Agathe, Ted",Meets Ted
master-249,2000,Samuel,Meets Adela. Two more papers on amoebas
master-250,2000,Adela,In Guelph as a grad student. Meets Samuel.
master-251,2000,Catherine,Meets Adela
master-252,2000,Anneliese,"(See tab ""Anneliese's book"" for her writing)"
master-253,2000,Ekaterina),Marries Ctik
master-254,2000,"Agathe, Ted",Joins the Water Department
master-255,2001,Samuel,"Marries Adela, in Guelph."
master-256,2001,Adela,Marries S; Fina born; English lessons; Natick
master-257,2001,Alec,Mushroom hunting
master-258,2001,Rosie,"Rosie's father leaves her mother, goes to Canada"
master-259,2001,Anneliese,Gets a part-time job in a pharmacy (?)
master-260,2001,Marvin,"Marvin born in Lake Alfred, Florida"
master-261,2002,Samuel,First visit to Slovakia. Paper on amoebas
master-262,2002,Martha,She is weaker: only shorter forays
master-263,2002,Catherine,"Biologics Supervisor, Harris Treatment Plant"
master-264,2002,Rosie,Rosie's mother dies
master-265,2002,Anneliese,Fired for doing her own experiments
master-266,2002,Jan,Samuel's first visit (he is 16)
master-267,2002,Maschinka,Maschinka born (Ekaterina is 22); Samuel's first visit
master-268,2002,Stepánka,Samuel's first visit (she is 13)
master-269,2003,Samuel,Second visit to Slovakia
master-270,2003,Martha,Interest in jigsaw puzzles; Tee visits less often
master-271,2003,Marvin,Marvin captured and sold to Hogle Zoo
master-272,2004,Samuel,Third visit to Slovakia; mushroom hunt
master-273,2004,Adela,Works at local television station; yoga lessons
master-274,2004,Martha,Alec's last visit
master-275,2004,Alec,Last mushroom hunt (begins disappearance)
master-276,2004,Catherine,Meets Chris
master-277,2004,Rosie,Albert takes over the farm in Oustic (he is 19)
master-278,2004,Luzia,Mother dies; she is taken in by Paul
master-279,2004,Dr. Maria-Kristiina Tank,"Tartu University, graduate school in biology"
master-280,2004,Marvin,Marvin paired with another alliergator
master-281,2004,François Aucoin,College: Colgate
master-282,2005,Samuel,"Mother's confession  (he is 34, she is 71)"
master-283,2005,Adela,Visits Slovakian Cultural Center in Toronto
master-284,2005,Martha,Mother's confession about Nicholas (Nikolaus)
master-285,2006,Samuel,Two papers on amoebas; A. and F. in Watkins Glen
master-286,2006,Adela,Writing lessons; brings guests from yoga and writing
master-287,2006,Martha,Fina's last visit; mushroom hunt (from the car)
master-288,2006,Anneliese,Develops the ladder of unreason
master-289,2006,Dr. Maria-Kristiina Tank,Marries Leksik Tank
master-290,2007,Samuel,Samuel visits Alec (mushrooms chapter)
master-291,2007,Adela,Adela's friends from Slovakian Cultural Center come to dinner
master-292,2007,Alec,"(Emma is 17, Sky is 13)"
master-293,2007,Dr. Maria-Kristiina Tank,"Son, Kainus, born with cerebral palsy"
master-294,2007,Ekaterina),Maschinka and Ekaterina visit Guelph
master-295,2007,Maschinka,Visits Guelph
master-296,2008,Samuel,Helps Paolo with his property line
master-297,2008,Adela,Natick runs away
master-298,2008,Martha,Walks with Samuel in Watkins Glen gorge
master-299,2008,Vipesh,At Thammasat University
master-300,2008,Hans Raaflaub,Alzheimer's begins
master-301,2008,John Preteen,John Preteen hired at Hogle Zoo
master-302,2008,François Aucoin,"MBA, Clarkson University School of Business"
master-303,2009,Samuel,"End of the ""ten years... of their happiness"""
master-304,2009,Adela,Second 10 years with Samuel
master-305,2009,Martha,Mother dies in December (72 years old)
master-306,2009,Alec,"Alec answers fewer emails, visits less"
master-307,2009,Catherine,Adopts Sheila (10-year old)
master-308,2009,Stuart Zachery,Stuart Zachery born
master-309,2009,Anneliese,Last academic collaborator (Schall)
master-310,2009,Stepánka,Married an Englishman
master-311,2009,Doctor and kittens,John Craig dies in Austria
master-312,2010,Samuel,Samuel and Tee close the house (late winter)
master-313,2010,Alec,Emma marries Marshall
master-314,2010,Catherine,Sheila in special middle school
master-315,2010,Rosie,Rosie moves to Guelph
master-316,2010,Anneliese,Invents the Encephalo- phagous theory
master-317,2010,Sirje Kukk,College at UCL
master-318,2011,Samuel,Adela's first longer visits back home
master-319,2011,Alec,Tee is the conduit to Alec
master-320,2011,Rosie,Rosie hired by the Water Department
master-321,2011,Viperine,Studies science at Paris-huit (she is 16 years old)
master-322,2011,Dr. Maria-Kristiina Tank,Friend Florina Ifscher gets job at Tartu regional zoo
master-323,2011,François Aucoin,MBA
master-324,2012,Samuel,Visits Alec at his farm
master-325,2012,Alec,"Last time Samuel sees Alec, at his farm"
master-326,2012,Catherine,Tells Anneliese Samuel could read her work
master-327,2012,Vipesh,Graduates with MS
master-328,2012,Anneliese,Hears abour Samuel from Catherine
master-329,2012,Dr. Maria-Kristiina Tank,"Works at Tallinn Zoo, entry level"
master-330,2012,Stepánka,Divorced
master-331,2012,François Aucoin,"Starts at City Hall, Guelph"
master-332,2012,Gunngeir Margeirsson,Born
master-333,2013,Adela,Fired by television station
master-334,2013,Viperine,"Quits Paris-huit (or is expelled), moves to NYC"
master-335,2013,Vipesh,Works for Thai Rubber Association
master-336,2013,Anneliese,Researching Samuel as her ideal reader
master-337,2013,Dr. Maria-Kristiina Tank,PhD from Tallinn University
master-338,2013,Owole,Owole born (?) in Rwanda
master-339,2014,Samuel,Adela's friends come to dinner
master-340,2014,Adela,Adela's friends come to dinner
master-341,2014,Alec,Alec stops answering emails or calls about here
master-342,2014,Viperine,Works at Prospect Park Zoo
master-343,2014,Sirje Kukk,Graduate work at Imperial College London
master-344,2014,Owole,Owole and her sister wild-collected
master-345,2015,Samuel,Last visit to Slovakia; visits Tee for Christmas
master-346,2015,Adela,Works at Agourec Pharmaceuticals
master-347,2015,Viperine,Writes essays on orangutans
master-348,2015,Dr. Maria-Kristiina Tank,Hourly lecturer at Tartu Ülikool
master-349,2015,Owole,Sent to Knoxville Zoo
master-350,2015,Adela's mother,Samuel's last visit (she is 58)
master-351,2015,Ekaterina),Samuel's last visit (she is 35)
master-352,2015,Maschinka,Samuel's last visit (she is 13)
master-353,2015,Stepánka,Samuel's last visit (she is 26)
master-354,2016,Samuel,"Last visit to Tee, for Thanksgiving"
master-355,2016,Catherine,Sheila runs away (17 years old)
master-356,2016,Rosie,Joe moves in with Rosie
master-357,2016,Viperine,Studies at Farleigh Dickinson with Birnstorck
master-358,2016,Anneliese,Re-reads Gray Notebooks
master-359,2016,Dr. Maria-Kristiina Tank,Grad students Tüüne-Kristin and Joonataun
master-360,2016,Sirje Kukk,"Quits, goes home, switches to history of science"
master-361,2016,Stepánka,Moved back home
master-362,2017,Samuel,Adela's friends come to dinner
master-363,2017,Adela,"First trip back, stayed 2 months"
master-364,2017,Rosie,Joe moves out (late in the year)
master-365,2017,Anneliese,"Reads long, complex books, writes index"
master-366,2017,Dr. Maria-Kristiina Tank,Divorces Leksik
master-367,2017,Sirje Kukk,"PhD candidate, History of Science, Tallinn University"
master-368,2017,Stepánka,Married Eduardo
master-369,2018 January,Samuel,Last meeting with Alec
master-370,2018 January,Adela,"Second trip back, stayed 3 months"
master-371,2018 January,Alec,Last meeting with Samuel
master-372,2018 January,Viperine,Specializes in bacterial parasitism
master-373,2018 January,Vipesh,(Applies to PhD program in Guelph)
master-374,2018 January,Anneliese,Goes to Abruzzo and gets a rash
master-375,2018 January,Owole,Develops stereotypical walk
master-376,2018 January,Ekaterina),"Divorces Ctik, moves back to her mother's house"
master-377,2018 February,Samuel,"Last time Samuel sees Tee, in Toronto"
master-378,2018 February,Catherine,Catherine's arthritis begins to show (she limps)
master-379,2018 February,Anneliese,Her dog is Teddi
master-380,2018 February,Paul,Walks his uncle to the Ruheplatz
master-381,2018 February,Luzia,Thinking of law school
master-382,2018 March,Catherine,Chris's cancer diagnosed
master-383,2018 March,Vipesh,(Is rejected by PhD program)
master-384,2018 March,Ekaterina),"Ctik gets a job in Prešov, in the Nemocnica"
master-385,2018 March,Jan,Talks to Samuel about hacking books
master-386,2018 March,Stepánka,Son Anthony Argus born
master-387,2019 March,Catherine,Sheila in court to annul adoption
master-388,2019 March,Vipesh,(Makes plans to move to Guelph to intern)
master-389,2019 March,Dr. Maria-Kristiina Tank,Named Director of Tallinn Zoo
master-390,2019 May,Samuel,Meets Billy
master-391,2019 May,Adela,Moves to Slovakia; works for Zdenko Cervenák
master-392,2019 May,Rosie,Rosie looks at Samuel in the monthly meeting
master-393,2019 May,Jaagup,Reet dies
master-394,2019 August,Samuel,Last time he uses the large microscope
master-395,2019 August,Adela,Meets Abroz
master-396,2019 August,Catherine,(Zoo committee formed and advertised)
master-397,2019 August,Rosie,Rosie looks at Samuel in the monthly meeting
master-398,2019 August,Stuart Zachery,Stuart Zachery writing poetry
master-399,2019 August,Viperine,"(Sees the ad, makes plans to go to Guelph to intern)"
master-400,2019 August,Vipesh,Moves to Guelph
master-401,2019 August,Anneliese,"Conference, Penrose yells at her"
master-402,2019 August,Paul,Stops going for walks with his uncle
master-403,2019 September,Samuel,Adela leaves for Bratislava
master-404,2019 September,Adela,"Calls, says she needs another two months"
master-405,2019 September,Rosie,Joe moves back in
master-406,2019 September,Viperine,Arrives in Guelph
master-407,2019 September,Luzia,Luzia goes to law school
master-408,2019 October,Paul,Walks his uncle just to the playground
master-409,"2019 October 9, Wednesday",Samuel,Remembers walking down Lorck (1  3)
master-410,"2019 October 14, Monday",Samuel,Talks to Rosie.
master-411,"2019 October 14, Monday",Rosie,Talks to Samuel
master-412,"2019 October 23, Wednesday",Samuel,"First lab (not described)  (Writes Book 1, Part One)"
master-413,"2019 October 23, Wednesday",Catherine,"Meets Viperine, reads her application, lunch with Samuel"
master-414,"2019 October 23, Wednesday",Rosie,Dinner at Mikuya with Samuel
master-415,"2019 October 23, Wednesday",Viperine,Meets Catherine
master-416,"2019 October 23, Wednesday",Jan,Talks to Samuel about hacking books
master-417,"2019 November 6, Wednesday",Samuel,"Second lab  Lunch with C., dinner at Mikuya with Rosie"
master-418,"2019 November 6, Wednesday",Viperine,"Meets Samuel, joins lab"
master-419,"2019 November 20, Wednesday",Samuel,Third lab (not mentioned). (S. is put on the zoo committee)
master-420,"2019 November 20, Wednesday",Catherine,(Puts S. on the zoo committee)
master-421,"2019 November 20, Wednesday",Marvin,Marvin's wife attacks him (after 15 years together)
master-422,"2019 December 4, Wednesday",Samuel,Fourth lab (Not described.)
master-423,"2019 December 4, Wednesday",Hans Raaflaub,"Goes to school, playing field, Ruheplatz"
master-424,"2019 December 14, Saturday",Samuel,Dinner at Saigon with Rosie.
master-425,"2019 December 14, Saturday",Rosie,Dinner with Samuel at Saigon
master-426,"2019 December 18, Wednesday",Samuel,Last lab.
master-427,"2019 December 18, Wednesday",Catherine,"(Sheila calls, no forwarding address)"
master-428,2020 January,Samuel,"First zoo visit (mentioned in 1 12, and 3 1)"
master-429,2020 January,Catherine,Chris in St. Marks'
master-430,"2020 January 31, Friday",Samuel,1st weekend with Rosie at Oustic
master-431,"2020 January 31, Friday",Rosie,1st weekend with Samuel at Oustic
master-432,"2020 January 31, Friday",Viperine,Assembles first readings with Vipesh
master-433,"2020 January 31, Friday",Hans Raaflaub,Gets lost on his walk
master-434,"2020 February 5, Wednesday",Samuel,First meeting with Anneliese
master-435,"2020 February 5, Wednesday",Adela,Last call to Adela before April (Book 3 11)
master-436,"2020 February 5, Wednesday",Anneliese,"First meeting with S., in Frankfurt for lawsuit"
master-437,"2020 February 5, Wednesday",Paul,Meeting with Samuel
master-438,2020 February 6,Samuel,Zoo 2
master-439,2020 February 6,Luzia,Luzia in Uganda
master-440,2020 February 6,Sirje Kukk,Meets Samuel
master-441,2020 February 8,Samuel,Readings 1 Zoo 3
master-442,2020 February 8,Pekka Stserispaa,Hosts Samuel (age 44)
master-443,"2020 February 11, Tuesday",Samuel,Readings 2
master-444,"2020 February 11, Tuesday",Viperine,S. is surprised V. is still around (lab is over)
master-445,2020 February 14,Samuel,2nd weekend with Rosie at Oustic
master-446,2020 February 14,Rosie,2nd weekend with Rosie at Oustic
master-447,"2020 February 19, Wednesday",Samuel,"Zoo 4, A. calls in the evening"
master-448,2020 February 20,Samuel,Anneliese calls in the morning when S. is leaving
master-449,2020 February 20,Anneliese,Second talk with S (on the phone)
master-450,2020 February 20,Paul,Paul goes to Dunkelsport with Luzia
master-451,"2020 February 22, Saturday",Anneliese,Third talk with S (on the phone)
master-452,2020 February 28,Samuel,3rd weekend with Rosie at Oustic
master-453,2020 February 28,Rosie,3rd weekend with Rosie at Oustic
master-454,"2020 March 1, Sunday",Samuel,"In the lab, with universal stage"
master-455,2020 March 2,Viperine,"Tells Samuel about her mother, and Mulu"
master-456,"2020 March 7, Saturday",Samuel,Lunch with C.; she is retiring in June
master-457,"2020 March 7, Saturday",Catherine,Tells Samuel she's retiring in June
master-458,"2020 March 7, Saturday",Anneliese,Walk to the Ruheplatz
master-459,"2020 March 7, Saturday",Paul,Walk to the Ruheplatz
master-460,2020 March 8,Samuel,"Finishes writing Book 1, 11-end"
master-461,"2020 March 21, Saturday",Samuel,"Readings 3, parts 1-3"
master-462,"2020 March 21, Saturday",Viperine,Going to U. of Guelph; Mulu in the summer
master-463,"2020 March 22, Sunday",Samuel,Zoo 5
master-464,"2020 March 22, Sunday",John Preteen,Hosts Samuel (age 36)
master-465,"2020 March 22, Sunday",Marvin,Samuel sees Marvin
master-466,"2020 March 27, Friday",Anneliese,Conference in Montreal. Penrose yells at her again.
master-467,"2020 March 28, Saturday",Samuel,Fourth talk with Anneliese
master-468,"2020 March 28, Saturday",Catherine,Comes to lunch to repudiate A.
master-469,"2020 March 28, Saturday",Anneliese,Fourth talk with S
master-470,"2020 April 9, Thursday",Samuel,Fifth talk with Anneliese
master-471,"2020 April 9, Thursday",Anneliese,Fifth talk with S (on the phone)
master-472,"2020 April 11, Saturday",Samuel,Zoo 6.
master-473,"2020 April 12, Sunday",Samuel,Sixth talk with Anneliese
master-474,"2020 April 12, Sunday",Anneliese,Sixth talk with S. A. has 100 pp. remaining to write
